2020-07-01 10:00:00,100000,0,100000
2020-07-02 10:00:00,0,50000,50000
2020-07-03 10:00:00,12000,0,62000
2020-07-04 10:00:00,98000,0,160000
2020-07-05 10:00:00,0,12000,148000
2020-07-06 10:00:00,89000,0,237000
2020-07-07 10:00:00,12000,0,249000
2020-07-08 10:00:00,100000,0,349000
2020-07-09 10:00:00,0,5000,344000
2020-07-10 10:00:00,0,10000,334000
2020-07-08 15:29:39,10000,0,344000
2020-07-08 15:29:41,10000,0,354000
2020-07-08 15:54:16,1000,0,355000
2020-07-08 15:54:20,500,0,355500
2020-07-08 15:54:48,1000,0,356500
