1,51,54,75,180,60
2,71,94,53,218,72
3,59,88,51,198,66
4,64,85,97,246,82
5,79,57,85,221,73
6,70,91,85,246,82
7,95,54,57,206,68
8,55,98,60,213,71
9,92,59,94,245,81
10,85,54,53,192,64
11,96,90,60,246,82
12,82,96,62,240,80
13,71,64,51,186,62
14,82,74,87,243,81
15,66,66,65,197,65
16,63,76,54,193,64
17,61,56,69,186,62
18,52,88,69,209,69
19,100,53,71,224,74
20,85,52,74,211,70
21,86,60,62,208,69
22,59,83,80,222,74
23,80,91,97,268,89
24,67,56,61,184,61
25,99,62,66,227,75
26,69,87,91,247,82
27,65,61,72,198,66
28,83,57,82,222,74
29,94,67,77,238,79
30,61,62,90,213,71
